NMEAS,NSTEP,NSAMPLE,TIMESTAMP(s),TIME_ERR(ms),VOLTAGE(V),CURRENT(A)
0,0,0,0.010558,175.000000,0.001000,-0.001900
1,0,1,2.000077,154.000000,0.001000,-0.001900
2,0,2,3.000071,136.000000,0.001000,-0.001300
3,0,3,4.054432,85.000000,0.001000,-0.001900
4,0,4,5.075928,85.000000,0.001000,-0.001900
5,1,0,6.076291,87.000000,0.508000,0.587500
6,1,1,7.047488,87.000000,0.508000,0.504000
7,1,2,8.006039,87.000000,0.508000,0.471800
8,1,3,9.000074,84.000000,0.508000,0.458700
9,1,4,10.000072,81.000000,0.508000,0.452200
10,2,0,11.000070,137.000000,1.003000,0.617000
11,2,1,12.000073,135.000000,1.003000,0.572200
12,2,2,13.000073,154.000000,1.003000,0.560200
13,2,3,14.057915,87.000000,1.003000,0.557500
14,2,4,15.054252,87.000000,1.003000,0.556400
15,3,0,16.056934,87.000000,1.497000,0.662800
16,3,1,17.069395,87.000000,1.510000,0.642100
17,3,2,18.027044,87.000000,1.497000,0.638800
18,3,3,19.000080,85.000000,1.497000,0.637700
19,3,4,20.003937,87.000000,1.497000,0.637700
20,4,0,21.006510,87.000000,2.005000,0.722800
21,4,1,22.011419,87.000000,2.005000,0.714100
22,4,2,23.000072,83.000000,2.005000,0.713000
23,4,3,24.002050,90.000000,2.005000,0.712500
24,4,4,25.000071,170.000000,2.005000,0.712500
25,5,0,26.000069,84.000000,2.499000,0.788300
26,5,1,27.000072,138.000000,2.499000,0.782900
27,5,2,28.000076,136.000000,2.499000,0.782300
28,5,3,29.000072,135.000000,2.499000,0.781800
29,5,4,30.073664,87.000000,2.499000,0.781800
30,6,0,31.048634,87.000000,3.006000,0.850000
31,6,1,32.045296,87.000000,2.993000,0.847200
32,6,2,33.057358,87.000000,3.006000,0.847200
33,6,3,34.042782,87.000000,2.993000,0.847200
34,6,4,35.052711,87.000000,3.006000,0.846700
35,7,0,36.041977,87.000000,3.513000,0.912700
36,7,1,37.047276,87.000000,3.513000,0.910600
37,7,2,38.066750,87.000000,3.513000,0.910600
38,7,3,39.079155,87.000000,3.513000,0.910600
39,7,4,40.043949,87.000000,3.513000,0.910000
40,8,0,41.006409,87.000000,4.008000,0.970600
41,8,1,42.000072,83.000000,4.008000,0.969500
42,8,2,43.000072,82.000000,4.008000,0.969500
43,8,3,44.002609,90.000000,4.008000,0.969500
44,8,4,45.000072,84.000000,4.008000,0.968900
45,9,0,46.000072,142.000000,4.515000,1.026800
46,9,1,47.000080,134.000000,4.515000,1.026200
47,9,2,48.051689,88.000000,4.515000,1.025200
48,9,3,49.052113,88.000000,4.515000,1.025200
49,9,4,50.052555,88.000000,4.515000,1.025200
50,10,0,51.070976,88.000000,5.009000,1.080300
51,10,1,52.056885,88.000000,5.009000,1.079700
52,10,2,53.016064,88.000000,5.009000,1.079700
53,10,3,54.003616,91.000000,5.009000,1.079200
54,10,4,55.000774,88.000000,5.009000,1.078600
55,11,0,56.000080,86.000000,5.504000,1.131600
56,11,1,57.000076,85.000000,5.504000,1.131600
57,11,2,58.000072,166.000000,5.504000,1.131000
58,11,3,59.000111,144.000000,5.504000,1.131000
59,11,4,60.000072,138.000000,5.504000,1.131000
60,12,0,61.000072,163.000000,6.011000,1.181200
61,12,1,62.000072,163.000000,6.011000,1.181200
62,12,2,63.000072,136.000000,6.011000,1.180700
63,12,3,64.048691,88.000000,6.011000,1.180100
64,12,4,65.045982,88.000000,6.011000,1.180100
65,13,0,66.037308,88.000000,6.505000,1.229200
66,13,1,67.030212,88.000000,6.505000,1.229200
67,13,2,68.010544,88.000000,6.505000,1.228700
68,13,3,69.000069,85.000000,6.505000,1.228700
69,13,4,70.000069,84.000000,6.505000,1.228200
70,14,0,71.000069,136.000000,7.000000,1.276200
71,14,1,72.000069,128.000000,7.000000,1.275600
72,14,2,73.073357,88.000000,7.000000,1.275100
73,14,3,74.053429,88.000000,7.000000,1.275100
74,14,4,75.051872,88.000000,7.000000,1.275100
75,15,0,76.015862,88.000000,7.507000,1.320900
76,15,1,77.000069,85.000000,7.507000,1.320900
77,15,2,78.000069,84.000000,7.507000,1.320400
78,15,3,79.000069,83.000000,7.507000,1.319800
79,15,4,80.000069,137.000000,7.507000,1.319800
80,16,0,81.000076,156.000000,8.002000,1.364600
81,16,1,82.000076,136.000000,8.002000,1.364600
82,16,2,83.048019,88.000000,8.002000,1.364600
83,16,3,84.041084,88.000000,8.002000,1.364000
84,16,4,85.005592,88.000000,8.002000,1.363500
85,17,0,86.000069,84.000000,8.509000,1.407200
86,17,1,87.000076,85.000000,8.496000,1.407200
87,17,2,88.000069,138.000000,8.496000,1.406600
88,17,3,89.000069,139.000000,8.496000,1.406600
89,17,4,90.050369,88.000000,8.496000,1.406600
90,18,0,91.047829,88.000000,9.003000,1.449200
91,18,1,92.013924,88.000000,9.003000,1.448600
92,18,2,93.000076,82.000000,9.003000,1.448600
93,18,3,94.001930,91.000000,9.003000,1.448600
94,18,4,95.000076,148.000000,9.003000,1.448100
95,19,0,96.000076,85.000000,9.510000,1.490600
96,19,1,97.000076,81.000000,9.510000,1.490100
97,19,2,98.000076,170.000000,9.510000,1.490100
98,19,3,99.000076,136.000000,9.510000,1.490100
99,19,4,100.000076,136.000000,9.510000,1.489600
100,20,0,101.047073,88.000000,10.005000,1.530500
101,20,1,102.067627,88.000000,10.005000,1.529900
102,20,2,103.074532,88.000000,10.017000,1.529400
103,20,3,104.041519,88.000000,10.005000,1.529400
104,20,4,105.046684,88.000000,10.017000,1.529400
105,21,0,106.011566,88.000000,10.512000,1.569200
106,21,1,107.000069,81.000000,10.512000,1.568700
107,21,2,108.000069,83.000000,10.512000,1.568700
108,21,3,109.000069,83.000000,10.512000,1.568700
109,21,4,110.000076,85.000000,10.512000,1.568700
110,22,0,111.000069,83.000000,11.006000,1.607400
111,22,1,112.000069,144.000000,11.006000,1.606900
112,22,2,113.000069,131.000000,11.006000,1.606900
113,22,3,114.048409,88.000000,11.006000,1.606900
114,22,4,115.073746,88.000000,11.006000,1.606300
115,23,0,116.053040,88.000000,11.514000,1.644500
116,23,1,117.013405,88.000000,11.514000,1.644000
117,23,2,118.020599,88.000000,11.514000,1.644000
118,23,3,119.001938,88.000000,11.514000,1.644000
