VSTEP,VOLT(V),V_ERR(V),CURR(A),I_ERR(A),R(V/I),R_ERR
0,0.001000,0.000000,-0.001730,0.000113,-0.578035,0.037817
1,0.054600,0.001644,0.091440,0.000694,0.597113,0.022516
2,0.104200,0.001138,0.172590,0.001771,0.603743,0.012792
3,0.153000,0.000000,0.238340,0.002902,0.641940,0.007815
4,0.213100,0.001884,0.291660,0.003008,0.730645,0.013996
5,0.247200,0.002014,0.320690,0.002911,0.770838,0.013277
6,0.303400,0.001644,0.355290,0.003208,0.853950,0.012339
7,0.356000,0.000000,0.382830,0.003157,0.929917,0.007668
8,0.407000,0.000000,0.405870,0.002905,1.002784,0.007178
9,0.458000,0.000000,0.425400,0.002649,1.076634,0.006703
10,0.508000,0.000000,0.441730,0.002316,1.150024,0.006031
11,0.559000,0.000000,0.456950,0.002303,1.223329,0.006167
12,0.610000,0.000000,0.470760,0.001900,1.295777,0.005230
13,0.661000,0.000000,0.483240,0.001790,1.367850,0.005067
14,0.711000,0.000000,0.494760,0.001619,1.437060,0.004704
15,0.762000,0.000000,0.505950,0.001325,1.506078,0.003945
16,0.800000,0.000000,0.513610,0.001171,1.557602,0.003550
17,0.851000,0.000000,0.523640,0.001139,1.625162,0.003536
18,0.902000,0.000000,0.533360,0.001047,1.691165,0.003320
19,0.952000,0.000000,0.542770,0.000972,1.753966,0.003141
20,1.003000,0.000000,0.553350,0.000529,1.812596,0.001732
