NMEAS,NSTEP,NSAMPLE,TIMESTAMP(s),TIME_ERR(ms),VOLTAGE(V),CURRENT(A)
0,0,0,0.010611,86.000000,0.001000,0.000300
1,0,1,2.000077,87.000000,0.001000,-0.001900
2,0,2,3.000074,87.000000,0.001000,-0.001900
3,0,3,4.000074,89.000000,0.001000,-0.001900
4,0,4,5.000083,173.000000,0.001000,0.000300
5,1,0,6.000086,145.000000,0.065000,0.100700
6,1,1,7.000073,162.000000,0.052000,0.100700
7,1,2,8.000075,144.000000,0.065000,0.098500
8,1,3,9.000078,106.000000,0.065000,0.098500
9,1,4,10.000074,86.000000,0.065000,0.097400
10,2,0,11.000075,86.000000,0.103000,0.192400
11,2,1,12.000074,89.000000,0.103000,0.188600
12,2,2,13.000074,91.000000,0.115000,0.185800
13,2,3,14.000074,89.000000,0.115000,0.183700
14,2,4,15.000075,153.000000,0.103000,0.183700
15,3,0,16.000078,147.000000,0.153000,0.264400
16,3,1,17.000074,104.000000,0.166000,0.259000
17,3,2,18.000072,87.000000,0.153000,0.254100
18,3,3,19.000072,91.000000,0.153000,0.251300
19,3,4,20.000072,91.000000,0.153000,0.250200
20,4,0,21.000072,92.000000,0.204000,0.320100
21,4,1,22.000078,88.000000,0.217000,0.311900
22,4,2,23.000086,91.000000,0.217000,0.305900
23,4,3,24.000080,89.000000,0.217000,0.303700
24,4,4,25.000084,146.000000,0.217000,0.302600
25,5,0,26.000078,140.000000,0.255000,0.346300
26,5,1,27.000080,104.000000,0.242000,0.339200
27,5,2,28.000084,87.000000,0.255000,0.336500
28,5,3,29.000080,90.000000,0.255000,0.332100
29,5,4,30.000082,90.000000,0.255000,0.332100
30,6,0,31.000086,92.000000,0.306000,0.382300
31,6,1,32.000084,89.000000,0.306000,0.373600
32,6,2,33.000084,141.000000,0.306000,0.369200
33,6,3,34.000084,138.000000,0.306000,0.365900
34,6,4,35.000080,128.000000,0.306000,0.364800
35,7,0,36.000080,110.000000,0.356000,0.409000
36,7,1,37.000072,87.000000,0.356000,0.399800
37,7,2,38.000080,92.000000,0.356000,0.394300
38,7,3,39.000080,88.000000,0.356000,0.393200
39,7,4,40.000088,88.000000,0.356000,0.391000
40,8,0,41.000076,90.000000,0.407000,0.430300
41,8,1,42.000088,87.000000,0.407000,0.420500
42,8,2,43.000084,165.000000,0.407000,0.417200
43,8,3,44.000084,141.000000,0.407000,0.415000
44,8,4,45.000076,179.000000,0.407000,0.412900
45,9,0,46.000084,141.000000,0.458000,0.447800
46,9,1,47.000076,137.000000,0.458000,0.438000
47,9,2,48.000084,142.000000,0.458000,0.434700
48,9,3,49.000080,132.000000,0.458000,0.433100
49,9,4,50.000080,107.000000,0.458000,0.432500
50,10,0,51.000080,88.000000,0.508000,0.462000
51,10,1,52.000080,91.000000,0.508000,0.454300
52,10,2,53.000080,88.000000,0.508000,0.450500
53,10,3,54.000084,92.000000,0.508000,0.447800
54,10,4,55.000084,89.000000,0.508000,0.447800
55,11,0,56.000084,152.000000,0.559000,0.474000
56,11,1,57.000076,170.000000,0.559000,0.467400
57,11,2,58.000088,147.000000,0.559000,0.464200
58,11,3,59.000076,104.000000,0.559000,0.463100
59,11,4,60.000084,91.000000,0.559000,0.462000
60,12,0,61.000076,92.000000,0.610000,0.487100
61,12,1,62.000092,89.000000,0.610000,0.480500
62,12,2,63.000080,92.000000,0.610000,0.477300
63,12,3,64.000084,90.000000,0.610000,0.476200
64,12,4,65.000084,88.000000,0.610000,0.476200
65,13,0,66.000084,90.000000,0.661000,0.498000
66,13,1,67.000084,148.000000,0.661000,0.491400
67,13,2,68.000076,145.000000,0.661000,0.489300
68,13,3,69.000076,136.000000,0.661000,0.487600
69,13,4,70.000092,103.000000,0.661000,0.487100
70,14,0,71.000084,90.000000,0.711000,0.507800
71,14,1,72.000076,93.000000,0.711000,0.502400
72,14,2,73.000084,90.000000,0.711000,0.500200
73,14,3,74.000084,87.000000,0.711000,0.498500
74,14,4,75.000076,92.000000,0.711000,0.498500
75,15,0,76.000084,149.000000,0.762000,0.517600
76,15,1,77.000076,146.000000,0.762000,0.512200
77,15,2,78.000076,151.000000,0.762000,0.509500
78,15,3,79.000092,108.000000,0.762000,0.508900
79,15,4,80.000084,90.000000,0.762000,0.508900
80,16,0,81.000084,91.000000,0.800000,0.523100
81,16,1,82.000092,88.000000,0.800000,0.518700
82,16,2,83.000076,91.000000,0.800000,0.517600
83,16,3,84.000084,88.000000,0.800000,0.516500
84,16,4,85.000076,92.000000,0.800000,0.516500
85,17,0,86.000076,148.000000,0.851000,0.533500
86,17,1,87.000076,145.000000,0.851000,0.528600
87,17,2,88.000076,136.000000,0.851000,0.526900
88,17,3,89.000076,106.000000,0.851000,0.526400
89,17,4,90.000076,87.000000,0.851000,0.526400
90,18,0,91.000076,86.000000,0.902000,0.542700
91,18,1,92.000084,90.000000,0.902000,0.537800
92,18,2,93.000076,87.000000,0.902000,0.536200
93,18,3,94.000084,138.000000,0.902000,0.536200
94,18,4,95.000099,136.000000,0.902000,0.535600
95,19,0,96.000076,103.000000,0.952000,0.551500
96,19,1,97.000076,87.000000,0.952000,0.547100
97,19,2,98.000084,91.000000,0.952000,0.546000
98,19,3,99.000076,89.000000,0.952000,0.546000
99,19,4,100.000076,89.000000,0.952000,0.544900
100,20,0,101.000076,90.000000,1.003000,0.559700
101,20,1,102.000084,88.000000,1.003000,0.555800
102,20,2,103.000076,166.000000,1.003000,0.554700
103,20,3,104.000084,137.000000,1.003000,0.554700
104,20,4,105.000076,161.000000,1.003000,0.554700
105,20,0,106.000084,162.000000,1.003000,0.554700
106,20,1,107.000076,140.000000,1.003000,0.554700
107,20,2,108.000076,103.000000,1.003000,0.553700
108,20,3,109.000076,106.000000,1.003000,0.554700
109,20,4,110.000076,128.000000,1.003000,0.554700
110,19,0,111.000092,89.000000,0.952000,0.538900
111,19,1,112.000076,93.000000,0.952000,0.542700
112,19,2,113.000084,90.000000,0.952000,0.543800
113,19,3,114.000084,87.000000,0.952000,0.543800
114,19,4,115.000076,166.000000,0.952000,0.543800
115,18,0,116.000084,175.000000,0.902000,0.529100
116,18,1,117.000076,146.000000,0.902000,0.532900
117,18,2,118.000084,136.000000,0.902000,0.534000
118,18,3,119.000084,154.000000,0.902000,0.534000
119,18,4,120.000084,109.000000,0.902000,0.534600
120,17,0,121.000069,90.000000,0.851000,0.517600
121,17,1,122.000092,88.000000,0.851000,0.523100
122,17,2,123.000076,90.000000,0.851000,0.524200
123,17,3,124.000084,87.000000,0.851000,0.524200
124,17,4,125.000076,91.000000,0.851000,0.524700
125,16,0,126.000092,147.000000,0.800000,0.507800
126,16,1,127.000076,137.000000,0.800000,0.512200
127,16,2,128.000092,142.000000,0.800000,0.513800
128,16,3,129.000076,131.000000,0.800000,0.514400
129,16,4,130.000076,113.000000,0.800000,0.514400
130,15,0,131.000076,88.000000,0.762000,0.500200
131,15,1,132.000076,92.000000,0.762000,0.504500
132,15,2,133.000076,89.000000,0.762000,0.506700
133,15,3,134.000076,92.000000,0.762000,0.506700
134,15,4,135.000076,89.000000,0.762000,0.506700
135,14,0,136.000076,151.000000,0.711000,0.487100
136,14,1,137.000076,141.000000,0.711000,0.492500
137,14,2,138.000076,105.000000,0.711000,0.494700
138,14,3,139.000076,89.000000,0.711000,0.495800
139,14,4,140.000076,91.000000,0.711000,0.495800
140,13,0,141.000092,91.000000,0.661000,0.474000
141,13,1,142.000092,88.000000,0.661000,0.480500
142,13,2,143.000076,92.000000,0.661000,0.482700
143,13,3,144.000092,91.000000,0.661000,0.482700
144,13,4,145.000092,88.000000,0.661000,0.483800
145,12,0,146.000092,90.000000,0.610000,0.460900
146,12,1,147.000076,149.000000,0.610000,0.468000
147,12,2,148.000076,146.000000,0.610000,0.470200
148,12,3,149.000076,104.000000,0.610000,0.470700
149,12,4,150.000092,91.000000,0.610000,0.471800
150,11,0,151.001678,90.000000,0.559000,0.445600
151,11,1,152.000076,89.000000,0.559000,0.452700
152,11,2,153.000076,92.000000,0.559000,0.455400
153,11,3,154.000076,144.000000,0.559000,0.456500
154,11,4,155.000076,149.000000,0.559000,0.457100
155,10,0,156.000092,123.000000,0.508000,0.429200
156,10,1,157.000076,120.000000,0.508000,0.436900
157,10,2,158.000076,91.000000,0.508000,0.439600
158,10,3,159.000076,88.000000,0.508000,0.441800
159,10,4,160.000076,89.000000,0.508000,0.442300
160,9,0,161.000092,90.000000,0.458000,0.412900
161,9,1,162.000076,142.000000,0.445000,0.419400
162,9,2,163.000076,139.000000,0.458000,0.423800
163,9,3,164.000092,103.000000,0.458000,0.424900
164,9,4,165.000092,87.000000,0.458000,0.426000
165,8,0,166.000092,87.000000,0.407000,0.392100
166,8,1,167.000092,90.000000,0.407000,0.399800
167,8,2,168.000092,87.000000,0.407000,0.403000
168,8,3,169.000076,137.000000,0.407000,0.404100
169,8,4,170.000076,138.000000,0.407000,0.406300
170,7,0,171.000076,104.000000,0.356000,0.367000
171,7,1,172.000076,87.000000,0.356000,0.375800
172,7,2,173.000092,90.000000,0.356000,0.380100
173,7,3,174.000092,87.000000,0.356000,0.381800
174,7,4,175.000076,92.000000,0.356000,0.382300
175,6,0,176.000076,87.000000,0.306000,0.339200
176,6,1,177.000092,152.000000,0.306000,0.347400
177,6,2,178.000076,142.000000,0.293000,0.351700
178,6,3,179.000092,105.000000,0.306000,0.353900
179,6,4,180.000092,86.000000,0.306000,0.355000
180,5,0,181.000092,87.000000,0.255000,0.305900
181,5,1,182.000092,90.000000,0.255000,0.312400
182,5,2,183.000076,92.000000,0.255000,0.316800
183,5,3,184.000092,88.000000,0.255000,0.319500
184,5,4,185.000076,146.000000,0.255000,0.321200
185,4,0,186.000076,140.000000,0.217000,0.279700
186,4,1,187.000076,103.000000,0.217000,0.284100
187,4,2,188.000076,105.000000,0.217000,0.288400
188,4,3,189.000092,88.000000,0.217000,0.289000
189,4,4,190.000076,88.000000,0.217000,0.290600
190,3,0,191.000076,89.000000,0.166000,0.225100
191,3,1,192.000076,92.000000,0.166000,0.231700
192,3,2,193.000076,88.000000,0.153000,0.233900
193,3,3,194.000076,152.000000,0.153000,0.237100
194,3,4,195.000092,142.000000,0.153000,0.238200
195,2,0,196.000076,144.000000,0.103000,0.164000
196,2,1,197.000092,148.000000,0.115000,0.168400
197,2,2,198.000092,104.000000,0.115000,0.170600
198,2,3,199.000076,86.000000,0.103000,0.172700
199,2,4,200.000076,87.000000,0.115000,0.173800
200,1,0,201.000076,87.000000,0.052000,0.087600
201,1,1,202.000076,89.000000,0.052000,0.089800
202,1,2,203.000076,86.000000,0.065000,0.092000
203,1,3,204.000076,89.000000,0.052000,0.092000
204,1,4,205.000092,92.000000,0.052000,0.093100
205,0,0,206.000076,90.000000,0.001000,-0.000800
206,0,1,207.000076,167.000000,0.001000,-0.000800
207,0,2,208.000076,136.000000,0.001000,-0.001900
208,0,3,209.000076,125.000000,0.001000,-0.001900
209,0,4,210.000076,104.000000,0.001000,-0.001900
