VSTEP,VOLT(V),V_ERR(V),CURR(A),I_ERR(A),R(V/I),R_ERR
0,0.001000,0.000000,-0.001240,0.000278,-0.806452,0.180984
1,0.058500,0.002055,0.095030,0.001409,0.615595,0.030760
2,0.109000,0.001897,0.178370,0.002886,0.611089,0.020524
3,0.156900,0.001884,0.244500,0.003904,0.641718,0.017952
4,0.215700,0.001233,0.297600,0.003940,0.724798,0.013739
5,0.253700,0.001233,0.326200,0.003885,0.777744,0.013044
6,0.304700,0.001233,0.360300,0.003932,0.845684,0.012653
7,0.356000,0.000000,0.387430,0.003709,0.918876,0.008797
8,0.407000,0.000000,0.410120,0.003361,0.992392,0.008132
9,0.456700,0.001233,0.429310,0.002999,1.063800,0.010303
10,0.508000,0.000000,0.445220,0.002798,1.141009,0.007171
11,0.559000,0.000000,0.459800,0.002417,1.215746,0.006390
12,0.610000,0.000000,0.473890,0.002173,1.287219,0.005902
13,0.661000,0.000000,0.485710,0.001969,1.360894,0.005518
14,0.711000,0.000000,0.497330,0.001691,1.429634,0.004860
15,0.762000,0.000000,0.508190,0.001384,1.499439,0.004083
16,0.800000,0.000000,0.515500,0.001224,1.551891,0.003686
17,0.851000,0.000000,0.525560,0.001222,1.619225,0.003765
18,0.902000,0.000000,0.535310,0.001053,1.685005,0.003313
19,0.952000,0.000000,0.544850,0.000976,1.747270,0.003130
20,1.003000,0.000000,0.555210,0.000496,1.806524,0.001614
