VOLTAGE FREQUENCY AMPLITUDE
0.050000 0.000429 0.490429
0.100000 0.000856 0.490073
0.150000 0.001285 0.489978
0.200000 0.001712 0.489926
0.250000 0.002136 0.489897
0.300000 0.002568 0.489915
0.350000 0.002991 0.489917
0.400000 0.003424 0.489888
0.450000 0.003849 0.489910
0.500000 0.004274 0.489880
0.550000 0.004707 0.489896
0.600000 0.005134 0.489874
0.650000 0.005566 0.489856
0.700000 0.005992 0.489892
0.750000 0.006421 0.489689
0.800000 0.006848 0.489830
0.850000 0.007278 0.489581
0.900000 0.007703 0.489779
0.950000 0.008134 0.489360
1.000000 0.008552 0.489760
